rodada,atleta_id,apelido,posicao_id,posicao,clube_id,mando,adversario_id,historico_jogos,historico_atuacoes,entrou_media3,entrou_media5,entrou_ewma,rodadas_desde_atuou,pontos_media3,pontos_media5,pontos_ewma,target_entrou,target_pontos,time_jogos,time_gf_media5,time_ga_media5,time_gf_ewma,time_ga_ewma,adversario_jogos,adversario_gf_media5,adversario_ga_media5,adversario_gf_ewma,adversario_ga_ewma,G_media3,G_media5,G_ewma,target_G,A_media3,A_media5,A_ewma,target_A,FT_media3,FT_media5,FT_ewma,target_FT,FD_media3,FD_media5,FD_ewma,target_FD,FF_media3,FF_media5,FF_ewma,target_FF,FS_media3,FS_media5,FS_ewma,target_FS,PS_media3,PS_media5,PS_ewma,target_PS,I_media3,I_media5,I_ewma,target_I,DS_media3,DS_media5,DS_ewma,target_DS,SG_media3,SG_media5,SG_ewma,target_SG,DP_media3,DP_media5,DP_ewma,target_DP,DE_media3,DE_media5,DE_ewma,target_DE,GC_media3,GC_media5,GC_ewma,target_GC,CV_media3,CV_media5,CV_ewma,target_CV,CA_media3,CA_media5,CA_ewma,target_CA,GS_media3,GS_media5,GS_ewma,target_GS,FC_media3,FC_media5,FC_ewma,target_FC,PC_media3,PC_media5,PC_ewma,target_PC,PP_media3,PP_media5,PP_ewma,target_PP
8,108713,Galeano,5,ATA,2305,0,287,4,4,1.0,1.0,1.0,0,1.0999999999999999,1.125,1.0852500000000003,1,0.5,6,1.2,1.6,0.6050000000000001,1.2521715625,7,0.8,1.0,0.7503118906250001,1.231719609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.55,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.24750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,68928,Rafael,1,GOL,276,1,275,7,7,1.0,1.0,1.0,0,3.6,4.9399999999999995,3.5689475203125003,1,0.3,7,1.4,0.4,1.0024834531250002,0.7478284375,7,1.8,1.0,1.725496203125,0.9163056406250002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.25217156250000006,0.0,0.0,0.0,0.0,0.0,2.0,1.8,2.350706265625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.7478284375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,109401,Erick Pulga,5,ATA,265,0,364,6,6,1.0,1.0,1.0,0,3.1666666666666665,2.7199999999999998,3.46219421875,1,2.4,7,1.4,0.2,1.5525493906250003,0.18645343750000004,7,0.8,2.0,0.2436977812500001,2.1688090625000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09150625000000004,0.0,0.3333333333333333,0.2,0.5003284375,0.0,1.6666666666666667,1.2,1.7569790625000001,3.0,0.3333333333333333,0.2,0.13612500000000002,1.0,0.6666666666666666,0.4,0.6975,1.0,1.3333333333333333,1.2,1.5950659375000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050328437500000024,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.8,1.1167034375000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,42135,Willian,4,MEI,284,0,267,5,5,1.0,1.0,1.0,0,0.8666666666666667,1.5,1.2686156250000002,1,0.0,7,1.2,1.0,1.574282125,0.6641540468750001,7,1.8,1.8,2.4899471875000003,2.0475493906250004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07486875000000003,0.0,0.6666666666666666,0.4,0.6975,0.0,0.6666666666666666,0.8,0.8472375000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.14973750000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09150625000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,105949,Rochet,1,GOL,285,1,315,7,7,1.0,1.0,1.0,0,1.6666666666666667,2.54,1.7379230765625004,1,5.0,7,0.8,1.4,1.038694359375,1.0823556250000002,7,0.8,1.6,0.5044037968750001,0.8710300156250003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.27518064062500003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.8,1.8519290312500003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.0823556250000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,104191,Raul,1,GOL,263,0,280,2,2,1.0,1.0,1.0,0,2.7,2.7,2.52,1,5.5,7,0.4,2.0,0.7647909531250001,2.341416796875,7,0.6,1.6,0.5088221875000001,1.688349375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.9000000000000004,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5500000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,89275,William,2,LAT,283,1,277,5,5,1.0,1.0,1.0,0,3.3333333333333335,2.32,2.2730387500000004,1,5.1,7,1.4,2.0,1.3723721718750002,2.2279925312500004,7,1.4,1.6,1.2386743906250002,1.7103447343750002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.24750000000000003,0.0,0.3333333333333333,0.2,0.45,0.0,0.3333333333333333,0.6,0.6330125000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,1.8,1.5146312500000003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.13612500000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6,1.8801312500000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,96591,Renan Lodi,2,LAT,282,0,266,7,7,1.0,1.0,1.0,0,7.900000000000001,5.220000000000001,7.179161476562501,1,0.6,7,1.2,1.4,0.8398884687500001,0.8462800156250002,7,1.8,1.4,2.108805640625,2.0450659375000004,0.0,0.0,0.0,0.0,0.0,0.0,0.027680640625000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4,0.6087727968750001,1.0,3.6666666666666665,2.6,3.2190316250000004,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13680184375000007,0.0,2.0,1.4,1.88469596875,0.0,0.6666666666666666,0.4,0.586125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050328437500000024,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,1.6,2.498120359375,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,72460,Bernard,4,MEI,282,0,266,4,4,1.0,1.0,1.0,0,1.0,0.6,0.30855000000000005,1,1.5,7,1.2,1.4,0.8398884687500001,0.8462800156250002,7,1.8,1.4,2.108805640625,2.0450659375000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.27225000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3327500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,101908,Willian Machado,3,ZAG,2305,0,287,5,5,1.0,1.0,1.0,0,2.1333333333333333,2.4799999999999995,1.7730000000000006,1,0.0,6,1.2,1.6,0.6050000000000001,1.2521715625,7,0.8,1.0,0.7503118906250001,1.231719609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.13612500000000002,0.0,0.3333333333333333,0.4,0.33900625000000006,0.0,1.3333333333333333,1.0,1.28400625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.2,0.6831000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09150625000000004,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.7890062500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
